codice_cliente,Luogo di Residenza,Indirizzo,Metratura,Sistema_Allarme
9500,Napoli,"Piazza Garibaldi, 91",90,True
9501,Sevignano,"Corso Italia, 7",177,True
9502,Qualso,"Via Vittorio Emanuele, 63",227,False
9503,Serra San Quirico Stazione,"Piazza Duomo, 36",106,False
9505,Torino,"Via Maria Vittoria, 3",163,False
9507,Casalone,"Corso Italia, 140",68,False
9508,San Cesario Sul Panaro,"Via Mazzini, 109",93,True
9509,Milano,"Corso Buenos Aires, 23",158,True
9511,Töll,"Via Roma, 24",197,False
9513,Trieste,"Via Cesare Battisti, 18",140,False
9515,Luogosanto,"Piazza Duomo, 130",119,False
9516,Napoli,"Via dei Mille, 40",120,False
9521,Posticciola,"Via Roma, 144",147,True
9522,Pianengo,"Via Cavour, 140",148,True
9525,Prissiano,"Via Matteotti, 57",243,False
9527,Bracciano,"Via Kennedy, 72",129,False
9532,Bari,"Via Imbriani, 19",130,False
9533,Barcarola,"Via Roma, 41",252,False
9535,Calimera Calabra,"Via Matteotti, 88",102,False
9537,Milano,"Corso Sempione, 34",119,False
9538,Piavola,"Via Dante, 56",235,False
9540,Reggio Calabria,"Piazza Italia, 1",159,True
9541,Lecce,"Corso Vittorio Emanuele II, 28",88,False
9543,Brescia,"Via X Giornate, 20",93,False
9546,Torino,"Via Cernaia, 23",135,False
9547,Villanova,"Corso Italia, 92",187,False
9548,Trieste,"Via Roma, 7",152,True
9550,Bari,"Via Nicolai, 15",181,False
9551,San Michele Di Tiorre,"Via Vittorio Emanuele, 12",148,False
9553,Marcialla,"Via Kennedy, 138",196,False
9554,Frassineto,"Corso Italia, 97",172,False
9555,Dipignano,"Via Mazzini, 142",110,False
9556,Trieste,"Viale XX Settembre, 28",143,False
9557,Trieste,"Piazza Goldoni, 10",246,False
9562,Sant'Andrea Di Campodarsego,"Corso Umberto, 148",89,False
9566,Firenze,"Lungarno Corsini, 4",81,False
9567,Usigliano,"Via Mazzini, 12",203,False
9570,Venezia,"Calle del Forno, 3709",134,False
9574,Andezeno,"Piazza Duomo, 75",183,True
9575,Monte Giberto,"Via Mazzini, 60",149,True
9577,Trieste,"Corso Italia, 6",126,True
9580,Torino,"Via Cernaia, 23",72,True
9581,Cavernago,"Via Vittorio Emanuele, 117",66,False
9582,Ancona,"Corso Umberto, 42",145,True
9587,Frasso Sabino,"Corso Umberto, 91",153,False
9588,Milano,"Viale Monza, 125",163,False
9595,Veglio,"Via Vittorio Emanuele, 19",111,False
9599,Mondadizza,"Via Verdi, 137",236,False
9600,San Venanzo,"Piazza Duomo, 42",121,False
9602,Torino,"Via Monte di Pietà, 16",92,False
9604,Torino,"Via Cernaia, 23",191,False
9605,Napoli,"Via Santa Lucia, 15",233,True
9606,Milano,"Corso Europa, 11",190,True
9608,San Giuliano Piacentino,"Piazza Duomo, 84",170,True
9609,Quarto,"Via Garibaldi, 59",83,True
9610,Colnago,"Via Garibaldi, 81",112,False
9612,Brescia,"Via Tosio, 12",66,True
9615,San Gregorio Matese,"Via Vittorio Emanuele, 17",106,False
9617,Bergamo,"Via Borfuro, 6",232,False
9620,Napoli,"Spaccanapoli, 18",131,True
9623,Torino,"Via Santa Teresa, 5",118,False
9624,Milano,"Via della Moscova, 28",201,False
9625,Bergamo,"Via Borfuro, 6",120,False
9627,Breien,"Piazza della Repubblica, 102",193,False
9631,Noragugume,"Via Kennedy, 37",117,True
9634,Castelnuovo Calcea,"Via Vittorio Emanuele, 36",83,True
9635,Collecalcioni,"Piazza Duomo, 144",142,True
9636,Turate,"Via Vittorio Emanuele, 150",136,False
9637,Torino,"Via della Consolata, 1",139,False
9639,Rodi' Milici,"Via Marconi, 93",85,False
9641,Napoli,"Via Crispi, 69",155,True
9642,Boara Pisani,"Via Dante, 131",132,True
